ticker,company_name,industry_group,sector_detail,company_type
SPH,Công ty Cổ phần Xuất Nhập khẩu Thủy sản Hà Nội,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
STC,Công ty Cổ phần Sách và Thiết bị trường học Thành phố Hồ Chí Minh,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT
SZL,Công ty Cổ phần Sonadezi Long Thành,Bất động sản,Bất động sản,CT
TB8,Công ty Cổ phần Sản xuất và Kinh doanh Vật tư Thiết bị - VVMI,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT
VCP,Công ty Cổ phần Xây dựng và Năng lượng VCP,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
TDH,Công ty Cổ phần Phát triển Nhà Thủ Đức,Bất động sản,Bất động sản,CT
TDG,Công ty Cổ phần Đầu tư TDG Global,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT
C22,Công ty Cổ phần 22,Thực phẩm và đồ uống,Thực phẩm,CT
NDP,Công ty Cổ phần Dược phẩm 2/9,Y tế,Dược phẩm,CT
NWT,Công ty Cổ phần Vận tải Newway,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT
PAS,Công ty Cổ phần Quốc tế Phương Anh,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
PEN,Công ty Cổ phần Xây lắp III Petrolimex,Xây dựng và Vật liệu,Xây dựng,CT
PCF,Công ty Cổ phần Cà phê PETEC,Thực phẩm và đồ uống,Đồ uống & giải khát,CT
PMW,Công ty Cổ phần Cấp Nước Phú Mỹ,"Điện, nước & xăng dầu khí đốt",Nước,CT
PSB,Công ty Cổ phần Đầu tư Dầu khí Sao Mai Bến Đình,Xây dựng và Vật liệu,Xây dựng,CT
THD,Công ty Cổ phần Thaiholdings,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản",CT
TL4,Tổng Công ty Xây dựng Thủy lợi 4 - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng,CT
